,3
먹다,0.029327848061439832
좋다,0.02647764031136582
오다,0.026428525166750608
졸업식,0.02538799898549158
강의실,0.02538799898549158
생각,0.025356657290825414
자다,0.025278883820823564
사람,0.025153281767935604
받다,0.025047262132356612
맛있다,0.024962659206248957
주다,0.024338496384168434
공부,0.024250705092649903
나오다,0.024206019281513887
꼬미,0.024198313380821266
쓰다,0.02409961415501772
사진,0.024053062500194313
찍다,0.023827761691386486
친구,0.023777653176967572
짜장면,0.0235195562638051
스냅,0.0235195562638051
넘다,0.02338796720873299
사다,0.023196361622259843
이제,0.023096722270989693
나다,0.02305610629093664
존나,0.022970055076278452
해주다,0.022910349366922995
시험,0.022910349366922995
알다,0.02273645447871635
카페,0.02273645447871635
수업,0.02269167893486712
알바,0.022646357334346643
적금,0.022600476193766587
시작,0.02257732144482009
써다,0.022554021524085706
끝나다,0.022435278989065388
버리다,0.022435278989065388
사실,0.022435278989065388
야구,0.022434915168933273
광주,0.022434915168933273
모르다,0.02241106831592265
돼다,0.022312616858280537
맞다,0.022312616858280537
살다,0.022262395483415992
아침,0.022237027977521907
다시,0.022159869665838647
귀엽다,0.022159869665838647
마싯다,0.022146917718269175
보고,0.022133790083838978
이렇다,0.022107526192310482
학교,0.021973348254301906
엠티,0.021930426184712446
밤샘,0.021930426184712446
이백이,0.021930426184712446
만들다,0.02183414377133398
엄마,0.021805666044370245
정말,0.021805666044370245
해보다,0.02174804744549408
저녁,0.0216599091203566
만나다,0.02156962957518273
되어다,0.02156962957518273
재밌다,0.021382212123814356
크다,0.021184838742498994
들어가다,0.021047181331717575
보내다,0.021047181331717575
처음,0.021011955236849598
티빙,0.020979474426200902
레포트,0.020979474426200902
정혁,0.020979474426200902
장지,0.020979474426200902
쿠캣,0.020979474426200902
펌킨리,0.020979474426200902
넥슨,0.020979474426200902
구라,0.020979474426200902
점심,0.020976392045044232
세대,0.02083483994196381
예쁘다,0.020830635121030592
준비,0.020830635121030592
마음,0.020793284804793723
때문,0.020793284804793723
기분,0.020793284804793723
생일,0.020793284804793723
미치다,0.020678927314746694
정도,0.020678927314746694
듣다,0.020640012559343942
출근,0.020600685999942355
두다,0.020600685999942355
힘들다,0.020560938827650987
언니,0.02052076194787418
좋아하다,0.02052076194787418
고민,0.02052076194787418
역시,0.020480145967821124
갈다,0.02039755756492762
남다,0.020355564743172985
지금,0.020355564743172985
넣다,0.020355564743172985
쓸다,0.02031309199306697
읽다,0.020270128217633736
보이다,0.020270128217633736
벌써,0.020226661930512403
차다,0.020226661930512403
말다,0.020182681237523585
운동,0.020182681237523585
놀다,0.02013817381713205
늘다,0.02013817381713205
긱사,0.020016190009911602
반지,0.020016190009911602
따다,0.019954614276609127
싫다,0.019907271914296847
웃기다,0.019907271914296847
한자,0.01988168118690115
한솥,0.01988168118690115
은지,0.01988168118690115
디스,0.01988168118690115
재봉틀,0.01988168118690115
시집,0.01988168118690115
과잠,0.01988168118690115
기출,0.01988168118690115
경이,0.01988168118690115
지민,0.01988168118690115
햇음,0.01988168118690115
지리다,0.01988168118690115
행복하다,0.019859318665949876
어제,0.019859318665949876
괜찮다,0.01981073856001793
생기다,0.01981073856001793
인생,0.01981073856001793
지다,0.01981073856001793
머리,0.019761514990283204
짜다,0.019761514990283204
개강,0.019761514990283204
올리다,0.01971163068178175
내다,0.01971163068178175
느낌,0.01971163068178175
커피,0.01960980718399931
나가다,0.01960980718399931
끄다,0.01960980718399931
프메,0.01956677267321144
졸다,0.01956677267321144
하랑,0.01956677267321144
로번,0.01956677267321144
펜슬,0.01956677267321144
장갑,0.01956677267321144
앞니,0.01956677267321144
먹음,0.019557829760723466
선물,0.01950511504448147
치다,0.019451641817126795
푸다,0.019355600144414523
쉬다,0.01934233025478461
주차,0.019286444612425596
대학생,0.019286444612425596
날씨,0.019286444612425596
카카오,0.01922970572125473
과제,0.01922970572125473
가보다,0.01922970572125473
도착,0.019172087122378563
퇴근,0.0191135611067762
설빙,0.019078228214311013
쌀국수,0.019078228214311013
서다,0.01899366925206722
완전,0.01899366925206722
기다리다,0.01899366925206722
새롭다,0.01893224099095719
교수,0.01893224099095719
추다,0.01893224099095719
뭔가,0.01893224099095719
떨어지다,0.018869780273892845
마지막,0.018869780273892845
이르다,0.018869780273892845
안되다,0.018806251800698844
달다,0.018806251800698844
아주,0.018741618429270544
원래,0.018741618429270544
동생,0.018741618429270544
아쉽다,0.018741618429270544
뜨다,0.018741618429270544
학기,0.01867584104515546
일주일,0.01860887841938348
월급,0.01860887841938348
아프다,0.01860887841938348
노래,0.01860887841938348
팀플,0.018583267370943287
핫팩,0.018583267370943287
아티스트,0.018583267370943287
훠궈,0.018583267370943287
미트,0.018583267370943287
철사,0.018583267370943287
아산,0.018583267370943287
개철,0.018583267370943287
너구리,0.018583267370943287
에스컬레이터,0.018583267370943287
쥬쥬,0.018583267370943287
코샤,0.018583267370943287
합주,0.018583267370943287
랩스,0.018583267370943287
정국,0.018583267370943287
서강대,0.018583267370943287
고름,0.018583267370943287
키티,0.018583267370943287
도토리,0.018583267370943287
두산,0.018583267370943287
인영,0.018583267370943287
브리핑,0.018583267370943287
막걸리,0.018583267370943287
솔지,0.018583267370943287
조명,0.018583267370943287
본디,0.018583267370943287
갈릭,0.018543088306965837
느끼하다,0.018543088306965837
버스,0.018540687053251924
만원,0.018540687053251924
사주다,0.018540687053251924
찾다,0.018540687053251924
금요일,0.018471221008602063
찌다,0.018471221008602063
들어오다,0.018471221008602063
항상,0.018471221008602063
다녀오다,0.018400431721928717
내일,0.018400431721928717
빠지다,0.018400431721928717
학원,0.018400431721928717
돈까스,0.01838477788858725
기억,0.018328267800439006
일어나다,0.018328267800439006
모으다,0.018328267800439006
위해,0.018179594967932353
입다,0.018179594967932353
걸다,0.018179594967932353
아빠,0.018102966991631178
바쁘다,0.018102966991631178
나르다,0.018102966991631178
새벽,0.018102966991631178
덥다,0.018102966991631178
별로,0.018102966991631178
정리,0.01802472567682684
소리,0.01802472567682684
거리,0.01802472567682684
한번,0.01802472567682684
학번,0.017951518584794247
피방,0.017951518584794247
후드,0.017951518584794247
목도리,0.017951518584794247
나쵸,0.017951518584794247
느끼다,0.017944801624758665
나중,0.017944801624758665
죽다,0.017944801624758665
밉다,0.017944801624758665
고기,0.017944801624758665
어이없다,0.017929838601137667
일요일,0.017863120860209806
기다,0.017863120860209806
놓다,0.017863120860209806
걱정,0.01777960442005747
정신,0.01777960442005747
애플,0.01777960442005747
문제,0.01777960442005747
하늘,0.01777960442005747
치킨,0.01777960442005747
채우다,0.01777960442005747
산책,0.01777960442005747
깊다,0.01769416789451822
기간,0.01769416789451822
진심,0.01769416789451822
보기,0.01769416789451822
추천,0.01769416789451822
월요일,0.01769416789451822
마시다,0.01769416789451822
이유,0.01769416789451822
회사,0.01769416789451822
난리,0.017684070684303797
근처,0.017606720914408073
챙기다,0.01751716657660965
여름,0.01751716657660965
걸리다,0.017425400798589064
예정,0.017425400798589064
강의,0.017425400798589064
가격,0.017425400798589064
고맙다,0.017425400798589064
적다,0.017425400798589064
나름,0.017425400798589064
타고,0.017425400798589064
바꾸다,0.017425400798589064
서울,0.017425400798589064
기절,0.017424251445050696
버터,0.017424251445050696
싸다,0.017331311591181335
주말,0.017331311591181335
끝내다,0.017331311591181335
자리,0.017331311591181335
잡다,0.017331311591181335
얼굴,0.017331311591181335
사랑,0.017331311591181335
늦다,0.017331311591181335
통장,0.017331311591181335
축하,0.017331311591181335
서울특별시,0.017331311591181335
강남구,0.017290199899661195
미루다,0.017234778236902417
야무지다,0.017234778236902417
상태,0.017234778236902417
저번,0.017234778236902417
방학,0.017234778236902417
졸업,0.017234778236902417
나서다,0.017234778236902417
제발,0.017234778236902417
그치다,0.017234778236902417
덕분,0.017234778236902417
생각나다,0.017234778236902417
오후,0.017234778236902417
게임,0.01713567035866623
토스,0.01713567035866623
매일,0.01713567035866623
직장인,0.01713567035866623
편하다,0.01713567035866623
자꾸,0.01713567035866623
지나가다,0.01713567035866623
얘기,0.01713567035866623
예전,0.01713567035866623
가장,0.017033846860883797
사고,0.017033846860883797
앉다,0.017033846860883797
라면,0.017033846860883797
제일,0.017033846860883797
피곤하다,0.017033846860883797
구경,0.017033846860883797
수요일,0.017033846860883797
크림,0.017033846860883797
귀찮다,0.017033846860883797
아이패드,0.017033846860883797
종강,0.017033846860883797
알레르기,0.016994137291850637
도림천,0.016994137291850637
퓌발,0.016994137291850637
발매,0.016994137291850637
데넘,0.016994137291850637
엔젤,0.016994137291850637
명수,0.016994137291850637
힘차다,0.016994137291850637
머리색,0.016994137291850637
박하다,0.016994137291850637
끄덕이다,0.016994137291850637
